FORMULA,Co,Cr,Fe,Ni,Mn,Nb,Ti,Al,C,Mo,Si,Cu,V,Sn,Li,Mg,Zn,Ta,Zr,Hf,W,Re,Ca,Y,Pd,Sc,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Calculated Young modulus (GPa)
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,27.28129136,7.699629245,15.53342605,39.15013033,,,5.332115946,5.003407068,,,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,7.4,T,700,461,560,9,185
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,27.28129136,7.699629245,15.53342605,39.15013033,,,5.332115946,5.003407068,,,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,7.4,T,800,445,536,6,185
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,27.28129136,7.699629245,15.53342605,39.15013033,,,5.332115946,5.003407068,,,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,7.4,T,900,219,312,8,185
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,27.28129136,7.699629245,15.53342605,39.15013033,,,5.332115946,5.003407068,,,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,7.4,T,23,627,1197,27,185
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,27.28129136,7.699629245,15.53342605,39.15013033,,,5.332115946,5.003407068,,,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,7.4,T,600,594,1006,12,185
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,27.28129136,7.699629245,15.53342605,39.15013033,,,5.332115946,5.003407068,,,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,7.4,T,700,547,840,17,185
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,27.28129136,7.699629245,15.53342605,39.15013033,,,5.332115946,5.003407068,,,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,7.4,T,800,399,575,20,185
Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,27.28129136,7.699629245,15.53342605,39.15013033,,,5.332115946,5.003407068,,,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,7.4,T,900,243,319,34,185
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,10.57800919,13.99930852,35.04803328,26.30049228,4.930469083,,,,,,,,9.143687648,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.9,T,25,401,717,49,208
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,10.57800919,13.99930852,35.04803328,26.30049228,4.930469083,,,,,,,,9.143687648,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.9,T,25,350,690,50,208
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,10.57800919,13.99930852,35.04803328,26.30049228,4.930469083,,,,,,,,9.143687648,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.9,T,25,312,660,51,208
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,10.57800919,13.99930852,35.04803328,26.30049228,4.930469083,,,,,,,,9.143687648,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.9,T,25,240,610,53,208
Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,10.57800919,13.99930852,35.04803328,26.30049228,4.930469083,,,,,,,,9.143687648,,,,,,,,,,,,,,FCC,WROUGHT,FCC,7.9,T,25,210,593,52,208
Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,21.09035862,18.60781374,19.98525575,21.0044698,,,,19.31210209,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,5.9,C,25,1241,,9.98,
Al1 Co0.556 Cr0.556 Fe0.556 Ni0.556 Ti0.111,20.78384515,18.33737995,19.69480312,20.69920458,,,3.37016951,17.1145977,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,5.9,C,25,1324,,10.02,
Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667 Ti0.333,20.33452849,17.94095232,19.26902997,20.25171772,,,8.245750051,13.95802144,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.1,C,25,1566,,11.85,
Al1 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti0.667,19.89726507,17.55515916,18.8546785,19.81623503,,,12.94052447,10.93613777,,,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.2,C,25,1503,,7.73,
Al1 Co1 Cr1 Fe1 Ni1 Ti1,19.62366307,17.31376284,18.59541283,19.54374725,,,15.93887772,8.984536288,,,,,,,,,,,,,,,,,,,BCC+B2+Laves,CAST,other,6.2,C,25,1448,,6.18,
Al0.667 Co0.833 Cr0.833 Fe0.833 Ni0.833 Ti1,19.35177194,17.07387599,18.33776838,19.27296338,,,18.86919601,7.094424288,,,,,,,,,,,,,,,,,,,BCC+B2+Laves,CAST,other,6.3,C,25,1272,,3.15,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,,,other,6.7,C,25,1300,,24.2,
Al0.8 Co1 Cr1 Fe1 Ni1 Ti0.2,22.96454763,20.26139206,21.76124009,22.87102632,,,3.730487168,8.411306727,,,,,,,,,,,,,,,,,,,,,other,6.8,C,25,968,,30.1,
Al0.5 Co1 Cr1 Fe1 Ni1 Ti0.5,22.41723296,19.77850178,21.24260389,22.32594055,,,9.103945924,5.131774896,,,,,,,,,,,,,,,,,,,,,other,6.9,C,25,1100,,27.5,
Al1 Co1 Cu1 Fe1 Ni1,22.32319062,,21.15348922,22.23228118,,,,10.22049326,,,,24.07054572,,,,,,,,,,,,,,,,,other,7,C,25,1060,,19.1,
Al1 Co1 Cr1 Cu1 Fe1 Ni1,18.64997864,16.45469074,17.67274799,18.57402807,,,,8.538742702,,,,20.10981186,,,,,,,,,,,,,,,,,other,7.1,C,25,1285,,24.6,
Al1 Co1 Cu1 Fe1 Ni1 Ti1,18.89689803,,17.90672917,18.8199419,,,15.3485792,8.651792757,,,,20.37605895,,,,,,,,,,,,,,,,,other,6.5,C,25,1612,,12.8,
Al1 Co1 Cr1 Cu1 Fe1 Ni1 Ti1,16.19652506,14.29003303,15.34785166,16.13056598,,,13.15526216,7.415448714,,,,17.46431339,,,,,,,,,,,,,,,,,other,6.6,C,25,1523,,8.1,
Al1 Cr1 Fe1 Ni1,,26.8690961,28.85807892,30.32979185,,,,13.94303313,,,,,,,,,,,,,,,,,,,,,other,6.3,C,25,1271,,14,
Al1 Co0.25 Cr1 Fe1 Ni1,7.074815395,24.96815715,26.81642311,28.18401507,,,,12.95658928,,,,,,,,,,,,,,,,,,,,,other,6.4,C,25,1363,,19,
Al1 Co0.5 Cr1 Fe1 Ni1,13.21471416,23.31842185,25.04456628,26.32179655,,,,12.10050116,,,,,,,,,,,,,,,,,,,,,other,6.5,C,25,1349,,20,
Al1 Co0.75 Cr1 Fe1 Ni1,18.5935303,21.87318257,23.49234327,24.69041281,,,,11.35053104,,,,,,,,,,,,,,,,,,,,,other,6.6,C,25,1331,,20,
Al1 Co1 Cr1 Fe1 Ni1,23.34451711,20.59663536,22.12129975,23.2494484,,,,10.68809938,,,,,,,,,,,,,,,,,,,,,other,6.7,C,25,1313,,19,
Co1 Cr1 Fe1 Mn1,26.5808797,23.4520459,25.18808184,,24.77899257,,,,,,,,,,,,,,,,,,,,,,,,other,7.8,C,25,338,,4.3,
Hf1 Nb1 Ta1 Ti1 W1 Zr1,,,,,,11.98361872,6.174196253,,,,,,,,,,,23.33984715,11.76666344,23.02279836,23.71287608,,,,,,BCC+Laves,CAST,other,11.2,C,25,1550,,26.3,
Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,,,,,,10.6638354,5.494217912,,,11.0132285,,,,,,,,20.76937645,10.47077391,20.48724497,21.10132285,,,,,,BCC+Laves,CAST,other,11.1,C,25,1637,,15.5,
Hf1 Nb1 Ta1 Ti1 W1 Zr1,,,,,,11.98361872,6.174196253,,,,,,,,,,,23.33984715,11.76666344,23.02279836,23.71287608,,,,,,BCC+Laves,CAST,other,11.2,C,800,577,,35,
Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,,,,,,10.6638354,5.494217912,,,11.0132285,,,,,,,,20.76937645,10.47077391,20.48724497,21.10132285,,,,,,BCC+Laves,CAST,other,11.1,C,800,1065,,35,
Hf1 Nb1 Ta1 Ti1 W1 Zr1,,,,,,11.98361872,6.174196253,,,,,,,,,,,23.33984715,11.76666344,23.02279836,23.71287608,,,,,,BCC+Laves,CAST,other,11.2,C,1000,409,,35,
Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,,,,,,10.6638354,5.494217912,,,11.0132285,,,,,,,,20.76937645,10.47077391,20.48724497,21.10132285,,,,,,BCC+Laves,CAST,other,11.1,C,1000,736,,35,
Hf1 Nb1 Ta1 Ti1 W1 Zr1,,,,,,11.98361872,6.174196253,,,,,,,,,,,23.33984715,11.76666344,23.02279836,23.71287608,,,,,,BCC+Laves,CAST,other,11.2,C,1200,345,,35,
Hf1 Mo1 Nb1 Ta1 Ti1 W1 Zr1,,,,,,10.6638354,5.494217912,,,11.0132285,,,,,,,,20.76937645,10.47077391,20.48724497,21.10132285,,,,,,BCC+Laves,CAST,other,11.1,C,1200,703,,35,
Nb1 Ti1 Zr1,,,,,,40.04620749,20.63259439,,,,,,,,,,,,39.32119812,,,,,,,,BCC,CAST,BCC,6.5,C,25,1223,,48,94
Hf1 Nb1 Ti1 Zr1,,,,,,22.63311627,11.66102702,,,,,,,,,,,,22.22335908,43.48249762,,,,,,,BCC,CAST,BCC,8.4,C,25,1000,,52,89
Nb1 Ti1 Zr1,,,,,,40.04620749,20.63259439,,,,,,,,,,,,39.32119812,,,,,,,,BCC,CAST,BCC,6.5,C,800,462,,51,94
Hf1 Nb1 Ti1 Zr1,,,,,,22.63311627,11.66102702,,,,,,,,,,,,22.22335908,43.48249762,,,,,,,BCC,CAST,BCC,8.4,C,800,303,,51,89
Nb1 Ti1 Zr1,,,,,,40.04620749,20.63259439,,,,,,,,,,,,39.32119812,,,,,,,,BCC,CAST,BCC,6.5,C,1000,218,,51,94
Hf1 Nb1 Ti1 Zr1,,,,,,22.63311627,11.66102702,,,,,,,,,,,,22.22335908,43.48249762,,,,,,,BCC,CAST,BCC,8.4,C,1000,154,,51,89
Co1 Cr1 Fe1 Ni1,26.13819317,23.06146798,24.76859141,26.03174744,,,,,,,,,,,,,,,,,,,,,,,FCC,CAST,FCC,8.2,C,25,163,,80,226
