FORMULA,Co,Cr,Fe,Ni,Mn,Nb,Ti,Al,C,Mo,Si,Cu,V,Sn,Li,Mg,Zn,Ta,Zr,Hf,W,Re,Ca,Y,Pd,Sc,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Calculated Young modulus (GPa)
Al1 Cu0.077 Mg0.077 Ni0.077 Si0.231 Zn0.077,,,,9.43178248,,,,56.31069412,,,13.53951635,10.21164448,,,,0,10.50636257,,,,,,,,,,FCC,CAST,FCC,3.2,C,25,534,,1,72
Al1 Cr0.077 Cu0.077 Mg0.077 Si0.231 Zn0.077,,8.44649551,,,,,,56.92329526,,,13.68681205,10.32273643,,,,0,10.62066075,,,,,,,,,,FCC,CAST,FCC,3.1,C,25,490,,6,75
Al1 Cu0.077 Mg0.077 Mn0.077 Si0.231 Zn0.077,,,,,8.88196091,,,56.6525451,,,13.62171205,10.27363734,,,,0,10.5701446,,,,,,,,,,FCC,CAST,FCC,3.2,C,25,622,,2,73
Al1 Cu0.077 Mg0.077 Si0.231 Zn0.077 Zr0.077,,,,,,,,53.51322068,,,12.86688324,9.704337572,,,,0,9.984414289,,13.93114422,,,,,,,,FCC+Laves,CAST,other,3.2,C,25,565,,4,
Co1 Cr1 Fe1 Mo0.2 Ni1,24.08800893,21.2526108,22.82583372,23.98991241,,,,,,7.843634149,,,,,,,,,,,,,,,,,FCC,CAST,FCC,8.3,T,25,400,780,53,232
Co1 Cr1 Fe1 Mo0.2 Ni1,24.08800893,21.2526108,22.82583372,23.98991241,,,,,,7.843634149,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,8.3,T,25,,838,43,232
Co1 Cr1 Fe1 Mo0.2 Ni1,24.08800893,21.2526108,22.82583372,23.98991241,,,,,,7.843634149,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,8.3,T,25,,899,31,232
Co1 Cr1 Fe1 Mo0.2 Ni1,24.08800893,21.2526108,22.82583372,23.98991241,,,,,,7.843634149,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,8.3,T,25,,902,29,232
Co1 Cr1 Fe1 Mo0.2 Ni1,24.08800893,21.2526108,22.82583372,23.98991241,,,,,,7.843634149,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,8.3,T,25,,811,52,232
Co1 Cr1 Fe1 Mo0.2 Ni1,24.08800893,21.2526108,22.82583372,23.98991241,,,,,,7.843634149,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,8.3,T,25,,790,49,232
Co1 Cr1 Fe1 Mo0.2 Ni1,24.08800893,21.2526108,22.82583372,23.98991241,,,,,,7.843634149,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,8.3,T,25,,799,47,232
Co1 Cr1 Fe1 Mo0.2 Ni1,24.08800893,21.2526108,22.82583372,23.98991241,,,,,,7.843634149,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,8.3,T,25,,802,37,232
Co1 Cr1 Fe1 Mo0.2 Ni1,24.08800893,21.2526108,22.82583372,23.98991241,,,,,,7.843634149,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,8.3,T,25,,823,36,232
Co1 Cr1 Fe1 Mo0.2 Ni1,24.08800893,21.2526108,22.82583372,23.98991241,,,,,,7.843634149,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,8.3,T,25,,849,34,232
Co1 Cr1 Fe1 Mo0.2 Ni1,24.08800893,21.2526108,22.82583372,23.98991241,,,,,,7.843634149,,,,,,,,,,,,,,,,,FCC,ANNEAL,FCC,8.3,T,25,,895,32,232
Al0.569 Ca0.143 Li0.857 Mg1 Si0.286 Y0.003,,,,,,,,52.34017058,,,27.38351478,,,,20.27631464,0,,,,,,,0,0,,,,CAST,other,1.6,C,25,556,,3,
Al0.429 Ca0.286 Li1 Mg1 Si0.143,,,,,,,,51.37390951,,,17.82467631,,,,30.80141418,0,,,,,,,0,,,,,CAST,other,1.4,C,25,418,,13,
Al0.312 Ca0.021 Li0.792 Mg1 Si0.021,,,,,,,,58.03921212,,,4.066179057,,,,37.89460883,0,,,,,,,0,,,,,CAST,other,1.4,C,25,360,,9,
Al0.333 Ca0.011 Li0.844 Mg1 Si0.033,,,,,,,,56.97830279,,,5.877322276,,,,37.14437493,0,,,,,,,0,,,,,CAST,other,1.4,C,25,342,,44,
Al0.333 Ca0.011 Li0.867 Mg1 Si0.011,,,,,,,,58.68364157,,,2.01774276,,,,39.29861567,0,,,,,,,0,,,,,CAST,other,1.4,C,25,300,,63,
Co1 Cr1 Fe1 Mn0.2 Ni1 Pd1,17.18791652,15.16472786,16.28729571,17.11792008,3.204553501,,,,,,,,,,,,,,,,,,,,31.03758634,,FCC+Sec.,CAST,other,9.1,C,25,650,,50,
Co1 Cr1 Fe1 Mn0.4 Ni1 Pd1,16.65422303,14.6938554,15.78156695,16.58640002,6.210100994,,,,,,,,,,,,,,,,,,,,30.07385361,,FCC+Sec.,CAST,other,9.1,C,25,650,,46,
Co1 Cr1 Fe1 Mn0.6 Ni1 Pd1,16.15267433,14.25134398,15.30629865,16.08689384,9.034621918,,,,,,,,,,,,,,,,,,,,29.16816728,,FCC+Sec.,CAST,other,9,C,25,650,,42,
Co1 Cr1 Fe1 Mn0.8 Ni1 Pd1,15.68045117,13.83470618,14.85881927,15.61659377,11.6939932,,,,,,,,,,,,,,,,,,,,28.31543641,,FCC+Sec.,CAST,other,8.9,C,25,650,,35,
Cr1 Fe1 Ni1 Ti0.2,,29.52516476,31.71076286,33.32795783,,,5.436114553,,,,,,,,,,,,,,,,,,,,BCC+FCC,CAST,other,7.6,C,25,2297.94,,5.8,
Cr1 Fe1 Ni1 Ti0.4,,28.00289529,30.07580751,31.60962254,,,10.31167466,,,,,,,,,,,,,,,,,,,,BCC,CAST,BCC,7.4,C,25,2475.41,,6.5,212
Cr1 Fe1 Ni1 Ti0.5,,27.29914552,29.31996272,30.81523094,,,12.56566081,,,,,,,,,,,,,,,,,,,,BCC,CAST,BCC,7.3,C,25,2380.79,,,208
Cr1 Fe1 Ni1 Ti0.6,,26.62990092,28.60117734,30.05978873,,,14.70913302,,,,,,,,,,,,,,,,,,,,BCC,CAST,BCC,7.2,C,25,1923.15,,,204
Co0.2 Cu0.2 Fe0.2 Nb1 Ni0.2,8.400435039,,7.960264957,8.366224929,,66.21509322,,,,,,9.05798186,,,,,,,,,,,,,,,FCC+Laves,WROUGHT,other,8.6,C,25,1498,,37.6,
Co0.133 Cu0.133 Fe0.133 Nb1 Ni0.133,6.299232943,,5.969162671,6.273579813,,74.66571709,,,,,,6.792307478,,,,,,,,,,,,,,,FCC+Laves,WROUGHT,other,8.6,C,25,1635,,31.7,
Co0.086 Cu0.086 Fe0.086 Nb1 Ni0.086,4.473706478,,4.23929103,4.45548766,,82.00762751,,,,,,4.823887327,,,,,,,,,,,,,,,FCC+Laves,WROUGHT,other,8.6,C,25,1703,,18.3,
Co0.067 Cu0.067 Fe0.067 Nb1 Ni0.067,3.629608548,,3.439422554,3.614827253,,85.40242429,,,,,,3.913717353,,,,,,,,,,,,,,,FCC+Laves,WROUGHT,other,8.6,C,25,1415,,12.6,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,5.853869557,42.19598531,12.41741446,35.74068186,,,3.792048815,,,,,,,,,,,,,,,,,,,,CAST,other,7.3,T,25,159,535,,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,5.853869557,42.19598531,12.41741446,35.74068186,,,3.792048815,,,,,,,,,,,,,,,,,,,,ANNEAL,other,7.3,T,25,409,584,,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,5.853869557,42.19598531,12.41741446,35.74068186,,,3.792048815,,,,,,,,,,,,,,,,,,,,CAST,other,7.3,T,25,355,1174,,
Al0.186 Cr0.149 Fe1 Mn0.861 Ni0.28,,5.853869557,42.19598531,12.41741446,35.74068186,,,3.792048815,,,,,,,,,,,,,,,,,,,,ANNEAL,other,7.3,T,25,954,978,,
Hf1 Ti1 Zr1,,,,,,,15.07237524,,,,,,,,,,,,28.72464033,56.20298444,,,,,,,Other,CAST,other,8.3,C,25,773,,17,
Hf1 Sc1 Ti1 Zr1,,,,,,,13.203342,,,,,,,,,,,,25.16267305,49.23359547,,,,,,12.40038948,Other,CAST,other,6.8,C,25,1001,,21.9,
Hf1 Ti1 Y1 Zr1,,,,,,,15.07237524,,,,,,,,,,,,28.72464033,56.20298444,,,,0,,,Other,CAST,other,7,C,25,554,,17.7,
Hf1 Sc1 Ti1 Y1 Zr1,,,,,,,13.203342,,,,,,,,,,,,25.16267305,49.23359547,,,,0,,12.40038948,Other,CAST,other,6.2,C,25,793,,15.7,
Al0.562 Co0.938 Cr0.312 Fe0.312 Ni1,33.95891928,9.96591094,10.70363675,36.05610262,,,,9.315430418,,,,,,,,,,,,,,,,,,,FCC+BCC,CAST,other,7.1,C,25,1129.4,,16.7,
Al0.581 Co0.968 Cr0.323 Fe0.323 Mo0.032 Ni1,33.6919651,9.918931538,10.6531797,34.6640054,,,,9.25854423,,1.813374034,,,,,,,,,,,,,,,,,FCC+BCC,CAST,other,7.1,C,25,1159.7,,18.2,
Al0.6 Co1 Cr0.333 Fe0.333 Mo0.067 Ni1,33.45521413,9.82922854,10.55683645,33.31897041,,,,9.190320408,,3.64943007,,,,,,,,,,,,,,,,,FCC+BCC,CAST,other,7.1,C,25,1250.8,,14.7,
Al0.6 Co1 Cr0.333 Fe0.333 Mo0.1 Ni0.967,33.22333041,9.761100504,10.48366524,31.99612599,,,,9.126620751,,5.409157099,,,,,,,,,,,,,,,,,FCC+BCC,CAST,other,7.2,C,25,1198.3,,14.5,
Co1 Cr1 Cu1 Fe1 Ni1,20.39112427,17.99088622,19.32266023,20.30808303,,,,,,,,21.98724625,,,,,,,,,,,,,,,FCC,CAST,FCC,8.3,C,25,300,,50.2,206
Co1 Cr1 Cu1 Fe1 Ni1 V0.042,20.24127804,17.85867838,19.18066571,20.15884703,,,,,,,,21.82567075,0.734860092,,,,,,,,,,,,,,FCC+Sec.,CAST,other,8.3,C,25,303,,50.2,
Co1 Cr1 Cu1 Fe1 Ni1 V0.087,20.08315331,17.71916651,19.03082648,20.00136625,,,,,,,,21.65516876,1.510318695,,,,,,,,,,,,,,FCC+Sec.,CAST,other,8.3,C,25,307,,50.2,
Co1 Cr1 Cu1 Fe1 Ni1 V0.136,19.91375906,17.56971164,18.87030823,19.83266184,,,,,,,,21.47251511,2.34104412,,,,,,,,,,,,,,FCC+Sec.,CAST,other,8.3,C,25,330,,50.2,
Co1 Cr1 Cu1 Fe1 Ni1 V0.19,19.73035901,17.4078996,18.69651807,19.65000868,,,,,,,,21.27475937,3.240455268,,,,,,,,,,,,,,FCC+Sec.,CAST,other,8.2,C,25,616,,28,
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,CAST,BCC,9.9,T,25,1155,1212,12.3,107
Nb1 Ta1 Ti1 Zr1,,,,,,22.49839567,11.59161632,,,,,,,,,,,43.81891051,22.0910775,,,,,,,,BCC,CAST,BCC,8.9,T,25,1144,1205,6.4,115
Nb1 Ta1 Ti1,,,,,,28.87781649,14.8784195,,,,,,,,,,,56.24376401,,,,,,,,,BCC,CAST,BCC,10,T,25,620,683,18.5,136
Ta1 Ti1 Zr1,,,,,,,14.95661466,,,,,,,,,,,56.53935927,28.50402607,,,,,,,,BCC+Sec.,CAST,other,9,T,25,,284,0,
Nb1 Ti1 Zr1,,,,,,40.04620749,20.63259439,,,,,,,,,,,,39.32119812,,,,,,,,BCC,CAST,BCC,6.5,T,25,956,991,14.2,94
Nb1 Ta0.667 Ti0.667 Zr0.333,,,,,,33.67340466,11.57191702,,,,,,,,,,,43.74444273,11.01023559,,,,,,,,BCC+Sec.,CAST,other,9.2,T,25,822,852,0.33,
Nb0.333 Ta0.667 Ti0.667 Zr1,,,,,,11.25902587,11.61916355,,,,,,,,,,,43.92304523,33.19876535,,,,,,,,BCC+Sec.,CAST,other,8.6,T,25,,843,0,
Co1 Cr1 Fe1 Mn1 Ni1,21.01710027,18.54317862,19.91583602,20.93150978,19.59237531,,,,,,,,,,,,,,,,,,,,,,FCC,POWDER,other,8,C,25,1100,,47,
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,13.51586083,6.963637554,,,13.95869855,,,,,,,,26.3241124,13.27116536,25.96652531,,,,,,,BCC,CAST,BCC,9.9,C,25,1512,,12,137
Hf1 Mo1 Ta1 Ti1 Zr1,,,,,,,8.051924458,,,16.14018325,,,,,,,,30.43808108,15.34520143,30.02460978,,,,,,,BCC,CAST,BCC,10.2,C,25,1600,,4,143
Hf1 Mo1 Nb1 Ti1 Zr1,,,,,,18.34502613,9.451718575,,,18.94608806,,,,,,,,,18.0129019,35.24426533,,,,,,,BCC,CAST,BCC,8.7,C,25,1351,,20,128
Hf1 Mo1 Nb1 Ta1 Zr1,,,,,,14.52750353,,,,15.003487,,,,,,,,28.29443425,14.26449295,27.91008228,,,,,,,BCC,CAST,BCC,10.9,C,25,1524,,16,141
Hf1 Mo1 Nb1 Ta1 Ti1,,,,,,15.58404525,8.029206875,,,16.09464557,,,,,,,,30.35220352,,29.93989879,,,,,,,BCC,CAST,BCC,10.8,C,25,1369,,27,155
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,13.51586083,6.963637554,,,13.95869855,,,,,,,,26.3241124,13.27116536,25.96652531,,,,,,,BCC,CAST,BCC,9.9,C,800,1007,,,137
Hf1 Mo1 Ta1 Ti1 Zr1,,,,,,,8.051924458,,,16.14018325,,,,,,,,30.43808108,15.34520143,30.02460978,,,,,,,BCC,CAST,BCC,10.2,C,800,1045,,,143
Hf1 Mo1 Nb1 Ti1 Zr1,,,,,,18.34502613,9.451718575,,,18.94608806,,,,,,,,,18.0129019,35.24426533,,,,,,,BCC,CAST,BCC,8.7,C,800,829,,,128
Hf1 Mo1 Nb1 Ta1 Zr1,,,,,,14.52750353,,,,15.003487,,,,,,,,28.29443425,14.26449295,27.91008228,,,,,,,BCC,CAST,BCC,10.9,C,800,1005,,,141
Hf1 Mo1 Nb1 Ta1 Ti1,,,,,,15.58404525,8.029206875,,,16.09464557,,,,,,,,30.35220352,,29.93989879,,,,,,,BCC,CAST,BCC,10.8,C,800,822,,,155
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,13.51586083,6.963637554,,,13.95869855,,,,,,,,26.3241124,13.27116536,25.96652531,,,,,,,BCC,CAST,BCC,9.9,C,1000,814,,,137
Hf1 Mo1 Ta1 Ti1 Zr1,,,,,,,8.051924458,,,16.14018325,,,,,,,,30.43808108,15.34520143,30.02460978,,,,,,,BCC,CAST,BCC,10.2,C,1000,855,,,143
Hf1 Mo1 Nb1 Ti1 Zr1,,,,,,18.34502613,9.451718575,,,18.94608806,,,,,,,,,18.0129019,35.24426533,,,,,,,BCC,CAST,BCC,8.7,C,1000,721,,,128
Hf1 Mo1 Nb1 Ta1 Zr1,,,,,,14.52750353,,,,15.003487,,,,,,,,28.29443425,14.26449295,27.91008228,,,,,,,BCC,CAST,BCC,10.9,C,1000,927,,,141
Hf1 Mo1 Nb1 Ta1 Ti1,,,,,,15.58404525,8.029206875,,,16.09464557,,,,,,,,30.35220352,,29.93989879,,,,,,,BCC,CAST,BCC,10.8,C,1000,778,,,155
Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,,,,,,13.51586083,6.963637554,,,13.95869855,,,,,,,,26.3241124,13.27116536,25.96652531,,,,,,,BCC,CAST,BCC,9.9,C,1200,556,,,137
Hf1 Mo1 Ta1 Ti1 Zr1,,,,,,,8.051924458,,,16.14018325,,,,,,,,30.43808108,15.34520143,30.02460978,,,,,,,BCC,CAST,BCC,10.2,C,1200,404,,,143
Hf1 Mo1 Nb1 Ti1 Zr1,,,,,,18.34502613,9.451718575,,,18.94608806,,,,,,,,,18.0129019,35.24426533,,,,,,,BCC,CAST,BCC,8.7,C,1200,301,,,128
Hf1 Mo1 Nb1 Ta1 Zr1,,,,,,14.52750353,,,,15.003487,,,,,,,,28.29443425,14.26449295,27.91008228,,,,,,,BCC,CAST,BCC,10.9,C,1200,694,,,141
Hf1 Mo1 Nb1 Ta1 Ti1,,,,,,15.58404525,8.029206875,,,16.09464557,,,,,,,,30.35220352,,29.93989879,,,,,,,BCC,CAST,BCC,10.8,C,1200,699,,,155
Hf1 Mo1 Nb1 Ta1 Zr1,,,,,,14.52750353,,,,15.003487,,,,,,,,28.29443425,14.26449295,27.91008228,,,,,,,BCC,CAST,BCC,10.9,C,1400,278,,,141
Hf1 Mo1 Nb1 Ta1 Ti1,,,,,,15.58404525,8.029206875,,,16.09464557,,,,,,,,30.35220352,,29.93989879,,,,,,,BCC,CAST,BCC,10.8,C,1400,367,,,155
Al0.267 Co1 Cr0.667 Fe0.667 Ni0.667 Ti0.2,31.55061162,18.56713957,19.94157068,20.95855687,,,5.125254531,3.856866729,,,,,,,,,,,,,,,,,,,FCC+BCC,POWDER,other,7.3,C,25,2012,,,
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,T,25,1438,,,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,T,25,1159,,,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,T,25,1134,,,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,T,25,1094,,,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,T,25,1071,,,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,T,25,1107,,,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,T,25,1115,,,107
Hf1 Nb1 Ta1 Ti1 Zr1,,,,,,15.70857322,8.093366135,,,,,,,,,,,30.59473991,15.42418017,30.17914056,,,,,,,BCC,OTHER,BCC,9.9,T,25,1114,,,107
Al1 Nb1 Ti1 Zr1,,,,,,35.87395117,18.4829658,10.41860537,,,,,,,,,,,35.22447766,,,,,,,,B2,CAST,other,5.7,C,25,1509,,8.6,
Al1 Nb1 Ti1 Zr1,,,,,,35.87395117,18.4829658,10.41860537,,,,,,,,,,,35.22447766,,,,,,,,B2+Sec.,ANNEAL,other,5.7,C,25,1579,,17.8,
Al1 Nb1 Ti1 V1 Zr0.5,,,,,,35.15052458,18.11024218,10.20850595,,,,,19.27365319,,,,,,17.25707411,,,,,,,,,,other,5.6,C,25,1480,,50,
Al1 Nb1 Ti1 Zr1,,,,,,35.87395117,18.4829658,10.41860537,,,,,,,,,,,35.22447766,,,,,,,,,,other,5.7,C,25,1080,,5.9,
Nb1 Ti1 V1 Zr1,,,,,,32.836053,16.91778086,,,,,,18.00458756,,,,,,32.24157857,,,,,,,,,,other,6.5,C,25,1105,,50,
Cr1 Nb1 Ti1 Zr1,,18.30890198,,,,32.71418662,16.8549929,,,,,,,,,,,,32.1219185,,,,,,,,,,other,6.6,C,25,1260,,6,
Al1 Cr1 Fe1 Mo0.5 Ni1,,21.53123719,23.12508541,24.30442542,,,,11.1730872,,19.86616478,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.8,C,25,1914.1,4023.6,,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.25,,20.51466171,22.03325801,23.15691669,,,4.72139834,10.64556124,,18.92820401,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.6,C,25,2161.7,3641.5,,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.4,,19.94952382,21.42628583,22.51898995,,,7.346133216,10.35229733,,18.40676985,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.5,C,25,2185.1,3673.4,,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.5,,19.58975151,21.0398814,22.11287956,,,9.017065116,10.16560265,,18.07481977,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.5,C,25,2228.7,3166.2,,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.6,,19.24272569,20.66716702,21.72115738,,,10.62879703,9.985522436,,17.75463045,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.4,C,25,1314.5,1314.5,,
Al1 Cr1 Fe1 Mo0.5 Ni1 Ti0.75,,18.74464317,20.13221398,21.15892264,,,12.94209893,9.727055197,,17.29506608,,,,,,,,,,,,,,,,,BCC+B2,CAST,other,6.4,C,25,618.8,618.8,,
